Country,Countrycode,BiocapPerCap_1996,BiocapPerCap_1986,BiocapPerCap_1971,TEF_Consumption,Total_Biocapacity,Overshoot,GDPPCint_2014,GDPPCint_2016,GDPPCint_2018,GDPPCus_2014,GDPPCus_2016,GDPPCus_2018,Percenturbanpop_2018,Percenturbanpop_2016,Percenturbanpop_2014,GenderGapIndex_2018,GGGeconomicsub_2018,GGGeducationsub_2018,GGGhealthsub_2018,GGGpoliticalsub_2018,Efindex,Govsize_subindex,Legal_subindex,Soundmoney_subindex,Trade_subindex,Regulation_subindex
Thailand,THA,1.103722909,1.089051614,1.331332719,2.5,1.2,-1.31,14852.43612,15709.78363,16904.69838,5589.31172,5911.951214,6361.62499,49.949,48.448,46.943,0.702,0.763,0.991,0.978,0.074,6.86,6.78,4.67,8.59,7.24,7
Timor-Leste,TLS,2.437641165,3.094321896,3.248716876,0.5,1.5,1.03,6466.737732,7566.018422,6795.510377,2626.018234,3072.41505,2759.526503,30.578,29.85,29.133,0.638,0.423,0.935,0.977,0.216,5.99,4.45,3.27,8.11,7.78,6.33
Togo,TGO,0.702619057,0.762545695,1.109696762,1.1,0.5,-0.55,1423.553002,1510.287132,1574.020407,611.5350691,648.7946319,676.1734036,41.702,40.628,39.579,0.618,0.61,0.771,0.965,0.128,6.21,6.51,5.24,6.98,5.67,6.63
Tonga,TON,1.230080425,1.482963372,1.640690174,3.4,1.7,-1.74,5268.399647,5642.742893,5696.22889,3750.384453,4016.865962,4054.940722,23.131,23.222,23.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Trinidad and Tobago,TTO,1.754535509,1.843923251,2.431459363,8.4,1.6,-6.82,31170.20922,29411.47556,28407.47373,16635.54036,15696.90422,15161.06846,53.184,53.25,53.413,NA,NA,NA,NA,NA,6.7,5.4,4.56,9.11,7.81,6.6
Tunisia,TUN,1.136060115,0.874868411,1.158345871,2.2,0.7,-1.48,10845.57404,10876.99999,11094.04785,4302.486544,4314.953355,4401.05719,68.945,68.346,67.772,0.648,0.439,0.966,0.971,0.216,6.2,5.63,5.29,6.9,6.76,6.42
Turkey,TUR,1.854695824,2.104047782,2.467834324,3.4,1.4,-1.92,22343.49745,23664.43123,25357.72223,13277.76077,14062.73379,15068.98238,75.143,74.134,73.077,0.628,0.466,0.968,0.976,0.101,6.67,6.6,4.62,8.85,7.27,6.03
Turkmenistan,TKM,3.090154107,NA,NA,5.3,2.5,-2.82,14332.13766,15648.84845,17128.98534,6399.168813,6987.068177,7647.935804,51.593,50.728,49.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Turks and Caicos Islands,TCA,NA,NA,NA,NA,NA,NA,19743.73032,21126.23564,22512.0515,NA,NA,NA,93.098,92.517,91.851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tuvalu,TUV,NA,NA,NA,NA,NA,NA,3141.05616,3452.663265,3593.274184,3178.452962,3493.770001,3636.055006,62.387,60.645,58.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uganda,UGA,0.850973211,1.039403374,1.646954278,1.1,0.5,-0.58,1722.491377,1767.4969,1808.431134,676.3376331,694.009088,710.0819481,23.774,22.624,21.504,0.724,0.7,0.913,0.98,0.305,7.39,7.48,4.71,9.35,7.63,7.79
Ukraine,UKR,1.444372635,NA,NA,2.9,2.8,-0.07,8243.473515,7678.053699,NA,3123.915572,2909.646215,3110.194646,69.352,69.154,68.968,0.708,0.747,1,0.978,0.107,5.96,7.16,4.44,4.99,6.78,6.44
United Arab Emirates,ARE,1.954506158,3.266024579,NA,8.9,0.6,-8.36,62879.70302,67045.10429,66616.05028,38495.04635,41045.11112,40782.44362,86.522,85.965,85.375,0.642,0.439,0.979,0.972,0.18,7.17,5.85,5.67,9.06,8.05,7.24
United Kingdom,GBR,1.358289609,1.345645016,1.090339651,4.4,1.1,-3.28,38693.89326,39760.49425,40522.24661,41369.79848,42510.16106,43324.59297,83.398,82.886,82.365,0.774,0.705,0.999,0.97,0.421,8.09,6.21,7.78,9.67,8.43,8.35
United States,USA,3.992914044,4.248326922,4.711300662,8.1,3.6,-4.46,52080.79257,53631.75762,55719.11998,51015.13548,52534.36528,54579.01684,82.256,81.862,81.483,0.72,0.782,0.998,0.976,0.125,8.19,7.16,7.44,9.8,7.67,8.86
Uruguay,URY,9.701652677,9.640343657,10.62036936,1.9,10,8.04,19939.00501,20210.25768,20916.15018,13934.57617,14124.14386,14617.464,95.334,95.144,94.945,0.715,0.664,1,0.98,0.216,7.05,6.32,5.23,9.04,7.86,6.8
USSR,NA,NA,4.375858318,4.898194138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uzbekistan,UZB,0.838935427,NA,NA,1.9,0.8,-1.08,6498.139042,7154.029072,7591.986727,2025.352625,2229.781706,2366.2852,50.478,50.65,50.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanuatu,VUT,NA,NA,NA,NA,NA,NA,2837.122659,2789.624867,2858.202369,2854.223636,2806.439547,2875.430406,25.274,25.062,24.861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Venezuela, Bolivarian Republic of",VEN,3.852950993,4.491221371,6.051875848,2.5,2.5,0,17131.38691,13416.79551,9401.622748,14025.35756,10984.2452,7697.048782,88.208,88.165,88.144,0.709,0.691,0.997,0.98,0.167,2.58,4.58,1.98,0.69,3.18,2.49
Vietnam,VNM,0.798499129,0.735751455,0.954057791,2.1,1,-1.1,5312.492183,5895.628492,6608.621686,1579.189102,1752.531946,1964.475991,35.919,34.51,33.115,0.698,0.74,0.972,0.957,0.124,6.27,6.7,5,6.68,6.27,6.73
Virgin Islands (U.S.),VIR,NA,NA,NA,NA,NA,NA,NA,NA,NA,29303.7241,29729.22179,NA,95.721,95.48,95.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Bank and Gaza,PSE,NA,NA,NA,NA,NA,NA,4445.30747,4600.6854,4576.432497,2603.521014,2694.522526,2680.318123,76.164,75.628,75.113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yemen, Rep.",YEM,0.662107381,1.007636841,1.865458129,0.7,0.4,-0.25,3828.484887,2619.050681,2284.970504,1119.147493,765.6041721,667.9454369,36.642,35.394,34.165,0.499,0.299,0.718,0.966,0.014,5.84,7.11,3.16,7.96,5.93,5.04
Yugoslav SFR,NA,NA,1.962738547,2.056578041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zambia,ZMB,3.181410506,3.853650035,6.35079721,0.9,1.9,0.93,3684.685507,3703.012866,3747.972455,1644.10679,1652.284458,1672.345428,43.521,42.438,41.382,NA,NA,NA,NA,NA,6.84,6.61,5.22,8.8,7.1,6.46
Zimbabwe,ZWE,0.861690885,1.16264233,1.731298055,1.1,0.5,-0.57,2506.49022,2489.097494,2688.406942,1232.864865,1224.309922,1322.344063,32.209,32.296,32.504,0.721,0.73,0.986,0.98,0.19,5.69,5.49,4.05,8.42,3.75,6.73
