Country,Countrycode,BiocapPerCap_1996,BiocapPerCap_1986,BiocapPerCap_1971,TEF_Consumption,Total_Biocapacity,Overshoot,GDPPCint_2014,GDPPCint_2016,GDPPCint_2018,GDPPCus_2014,GDPPCus_2016,GDPPCus_2018,Percenturbanpop_2018,Percenturbanpop_2016,Percenturbanpop_2014,GenderGapIndex_2018,GGGeconomicsub_2018,GGGeducationsub_2018,GGGhealthsub_2018,GGGpoliticalsub_2018,Efindex,Govsize_subindex,Legal_subindex,Soundmoney_subindex,Trade_subindex,Regulation_subindex
Cambodia,KHM,0.90337587,1.152142543,1.441093924,1.4,1.1,-0.27,3123.559819,3466.78569,3869.489181,972.7427283,1079.630539,1205.040941,23.388,22.582,21.799,0.683,0.719,0.938,0.975,0.102,7.44,9.08,4.43,9.33,7.34,7.05
Cameroon,CMR,2.47103438,3.26683821,4.924973603,1.4,1.7,0.31,3134.080704,3284.863824,3358.590924,1400.387017,1467.760752,1500.703897,56.374,55.179,53.976,0.714,0.816,0.876,0.973,0.191,5.84,6.95,3.2,7.32,5.15,6.57
Canada,CAN,18.24972984,20.2362909,23.17791345,7.7,15.1,7.38,43149.57642,43110.70122,44078.0656,50309.1599,50263.83433,51391.70842,81.411,81.3,81.218,0.771,0.748,1,0.971,0.365,8.08,6.48,7.85,9.55,7.91,8.61
Cayman Islands,CYM,0.553819592,NA,NA,5.8,0.3,-5.5,62929.87312,64881.36475,NA,72741.43011,74997.18378,NA,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Central African Republic,CAF,10.49288444,13.20491277,19.10824078,1.2,7.7,6.45,672.6816483,723.2866499,763.0411996,334.1145508,359.2495719,378.9952771,41.364,40.618,39.959,NA,NA,NA,NA,NA,5.23,6.5,2.73,6.67,4.69,5.54
Chad,TCD,3.365705797,4.506555677,6.419431556,1.5,1.9,0.37,2062.345069,1864.302188,1746.482075,960.44092,868.2116954,813.3424788,23.059,22.677,22.372,0.58,0.677,0.575,0.971,0.097,5.42,7.43,2.72,6.83,5.17,4.96
Channel Islands,CHI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.914,30.93,30.995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chile,CHL,3.867216771,4.351822104,5.368106,4.3,3.5,-0.76,22013.85111,22331.22608,22873.80701,14561.32616,14771.25765,15130.15432,87.564,87.422,87.303,0.717,0.585,0.999,0.977,0.307,7.89,8.17,6.44,9.53,8.34,6.97
China,CHN,0.890793839,0.854779003,0.897558076,3.6,1,-2.66,12725.0891,14368.6308,16181.77772,6096.487817,6883.895425,7752.559525,59.152,56.736,54.259,0.673,0.653,0.958,0.915,0.164,6.42,4.67,5.58,8.5,6.81,6.55
Colombia,COL,4.817710755,5.762768901,8.073638249,2,3.6,1.59,12887.59928,13207.46827,13321.32785,7441.310334,7626.002946,7691.745564,80.778,80.108,79.415,0.729,0.733,1,0.98,0.203,6.68,7.24,3.94,8.19,6.68,7.34
Comoros,COM,0.448588598,0.502813269,0.58568809,1.2,0.3,-0.9,2525.726109,2518.653714,2585.117414,1369.176631,1365.34274,1401.372199,28.965,28.619,28.338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Democratic Republic of",COD,4.894291033,6.781784353,10.79059964,0.7,2.5,1.84,784.8726559,804.5229778,827.1382532,397.3416705,407.2896431,418.7386231,44.46,43.307,42.18,0.582,0.613,0.674,0.976,0.063,5,6.93,3.11,4.37,5.56,5.05
Congo,COG,16.73221706,21.85180061,34.31608851,1.1,9.2,8.14,5694.862421,5403.536008,5024.082686,3005.736912,2851.975419,2651.700719,66.916,66.001,65.085,NA,NA,NA,NA,NA,5.08,5.61,3.1,5.74,5.39,5.56
Cook Islands,NA,NA,NA,NA,5.1,1.4,-3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,CRI,2.038425891,2.692529804,4.153396244,2.7,1.6,-1.13,14259.04652,15077.4901,15679.98056,8993.526002,9509.738189,9889.743515,79.34,77.735,75.941,0.749,0.614,1,0.977,0.406,7.41,7.04,5.82,9.76,7.96,6.46
Cote d'Ivoire,CIV,2.31242623,2.963332645,5.054409934,1.2,1.9,0.69,3038.844827,3395.088932,3733.04767,1377.796563,1539.315802,1692.54455,50.779,49.881,49.014,0.627,0.621,0.815,0.97,0.102,5.97,5.93,4.21,7.12,5.92,6.67
Croatia,HRV,2.598904944,NA,NA,3.9,3.2,-0.75,20347.89784,21900.81435,23664.14523,13662.86566,14705.59203,15889.60391,56.947,56.403,55.923,0.712,0.681,0.998,0.98,0.191,7.26,5.72,5.58,9.55,8.18,7.29
Cuba,CUB,0.733900483,0.906051833,0.851340502,1.8,0.8,-0.97,NA,NA,NA,6255.426161,6550.274373,6816.896809,77.037,76.93,76.861,0.749,0.627,0.999,0.975,0.396,NA,NA,NA,NA,NA,NA
Curacao,CUW,NA,NA,NA,NA,NA,NA,26442.68217,25637.31065,24617.08176,NA,NA,NA,89.145,89.272,89.443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
